id,mapAddress,name,License Type,Last Inspection Date,License Number
MjU1NDM0,1096 PARK AVENUE CRANSTON RI 02910,MINH HAI RESTAURANT,Seats -  Less than 50,06-07-2018,FSV24692
MjQzMTM1,1500 DIAMOND HILL ROAD WOONSOCKET RI 02895,TACO BELL,Seats - 50 or More,06-06-2018,FSV18852
MjQ5NTUx,666 MAIN STREET COVENTRY RI 02816,HARRIS BAR & GRILLE,Seats - 50 or More,06-06-2018,FSV20798
MjUxNTc1,100 HILLSIDE AVENUE CRANSTON RI 02920,NEWPORT CREAMERY STORE 3,Seats - 50 or More,06-06-2018,FSV21666
MjUyODA4,9 JP MURPHY AVENUE WEST WARWICK RI 02893,COX COMMUNICATION NEW ENGLAND,Seats - 50 or More,06-06-2018,FSV22483
MjUzNTE5,300 ATWOOD AVENUE CRANSTON RI 02920,HONEY DEW DONUTS,Seats -  Less than 50,06-06-2018,FSV22777
MjU3NTU2,1666 DIAMOND HILL ROAD WOONSOCKET RI 02895,WALNUT HILL BOWL,Seats - 50 or More,06-06-2018,FSV25774
MjU4MTA1,852 PARK AVENUE WOONSOCKET RI 02895,GULF EXPRESS,Cash Registers - 1-2,06-06-2018,MRK07436
MjYwMDQ2,600 NEW LONDON AVENUE CRANSTON RI 02920,COFFEE PLUS NO 66,Food Service (Non-Profit),06-06-2018,FSV27946
MjYxNDU3,1047 SOCIAL STREET WOONSOCKET RI 02895,TESORO MARKET,Cash Registers - 1-2,06-06-2018,MRK07987
MjQ1MTE0,187 WATER STREET WARREN RI 02885,JACK'S BAR INC,Seats -  Less than 50,05-31-2018,FSV03918
MjQ1MTQw,95 TUPELO STREET BRISTOL RI 02809,BRISTOL GOLF CLUB,Seats - 50 or More,05-31-2018,FSV03982
MjQ1MTU5,150 NAYATT ROAD BARRINGTON RI 02806,RHODE ISLAND COUNTRY CLUB,Seats - 50 or More,05-31-2018,FSV04027
MjQ1MjUz,164 OCEAN AVENUE NEWPORT RI 02840,HAZARDS BEACH INC,Seats -  Less than 50,05-31-2018,FSV05109
MjQ1OTk5,900 CRANSTON STREET CRANSTON RI 02906,DUNKIN DONUTS,Seats -  Less than 50,05-31-2018,FSV09828
MzU4OTk2,311 TAUNTON AVE EAST PROVIDENCE RI 02914,TOWN PUB,Seats -  Less than 50,05-02-2018,FSV30547
NjExOTM5,287 PAWTUCKET AVE PAWTUCKET RI 02860,LANNA THAI AND SPEEDERIA PIE,Seats -  Less than 50,05-02-2018,FSV32211
NjYyNjg3,2192 BROAD ST CRANSTON RI 02910,PTX LOUNGE,Seats -  Less than 50,05-02-2018,FSV32728
NjYyODQ4,101 CADILLAC DR PROVIDENCE RI 02907,GOOD FORTUNE RESTAURANT,Seats - 50 or More,05-02-2018,FSV32713
NjYyODYx,873 CRANSTON ST CRANSTON RI 02920,OM FOODS AND FUEL,Cash Registers - 1-2,05-02-2018,MRK09207
MjYwNjk5,283 PARK AVENUE CRANSTON RI 02920,DUNKIN DONUTS,Seats -  Less than 50,04-26-2017,FSV27214
MjYxNTAx,1625 WARWICK AVENUE WARWICK RI 02889,TRINITY CONFECTIONS,Food Processor Retail - In-State,04-26-2017,FPR03243
MjYyNTcz,24 MIDWAY RD CRANSTON RI 02920,APPLEBEE'S NEIGHBORHOOD GRILL AND BAR,Seats - 50 or More,04-26-2017,FSV28319
MjY0MzU4,41 DEXTER RD EAST PROVIDENCE RI 02914,THE ILLUMINATED OVEN,Food Processor Retail - In-State,04-26-2017,FPR03528
MjY0Mzg5,LINCOLN MALL LINCOLN RI 02865,THE MAXX FITNESS CENTER,Seats -  Less than 50,04-26-2017,FSV30408
NDE1MzM0,400 BALD HILL RD WARWICK RI 02886,JOHNNY ROCKETS,Seats -  Less than 50,04-26-2017,FSV31979
NDE1NDcw,850 BROAD ST CENTRAL FALLS RI 02863,LUPITAS FOOD MARKET LLC,Cash Registers - 1-2,04-26-2017,MRK08988
NjExNjA2,1700 MENDON RD CUMBERLAND RI 02864,DUNKIN DONUTS,Seats -  Less than 50,04-26-2017,FSV32031
