defensiveZoneFaceoffLosses,defensiveZoneFaceoffWins,defensiveZoneFaceoffs,evFaceoffs,evFaceoffsLost,evFaceoffsWon,faceoffWinPct,gameDate,gameId,gamesPlayed,homeRoad,lastName,neutralZoneFaceoffLosses,neutralZoneFaceoffWins,neutralZoneFaceoffs,offensiveZoneFaceoffLosses,offensiveZoneFaceoffWins,offensiveZoneFaceoffs,opponentTeamAbbrev,playerId,positionCode,ppFaceoffs,ppFaceoffsLost,ppFaceoffsWon,shFaceoffs,shFaceoffsLost,shFaceoffsWon,skaterFullName,teamAbbrev,totalFaceoffLosses,totalFaceoffWins,totalFaceoffs,game_type
,,,9,2,7,0.61538,2004-01-29,2003020766,1,H,Bergeron,,,,,,,NYI,8470638,C,2,2,0,2,1,1,Patrice Bergeron,BOS,5,8,13,2
,,,0,0,0,0.5,2003-12-30,2003020548,1,H,Bergeron,,,,,,,OTT,8470638,C,2,1,1,0,0,0,Patrice Bergeron,BOS,1,1,2,2
,,,5,2,3,0.5,2004-02-17,2003020881,1,R,Bergeron,,,,,,,TOR,8470638,C,1,1,0,6,3,3,Patrice Bergeron,BOS,6,6,12,2
,,,3,0,3,0.5,2004-01-03,2003020577,1,H,Bergeron,,,,,,,NYI,8470638,C,3,3,0,0,0,0,Patrice Bergeron,BOS,3,3,6,2
,,,20,13,7,0.375,2004-01-12,2003020642,1,H,Bergeron,,,,,,,BUF,8470638,C,3,1,2,1,1,0,Patrice Bergeron,BOS,15,9,24,2
,,,4,3,1,0.375,2003-12-20,2003020478,1,H,Bergeron,,,,,,,CAR,8470638,C,1,0,1,3,2,1,Patrice Bergeron,BOS,5,3,8,2
,,,4,3,1,0.2,2003-10-15,2003020041,1,R,Bergeron,,,,,,,DAL,8470638,C,0,0,0,1,1,0,Patrice Bergeron,BOS,4,1,5,2
,,,4,2,2,0.5,2003-10-19,2003020071,1,R,Bergeron,,,,,,,ANA,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,2,2,4,2
,,,29,9,20,0.7,2004-01-15,2003020661,1,R,Bergeron,,,,,,,BUF,8470638,C,1,0,1,0,0,0,Patrice Bergeron,BOS,9,21,30,2
,,,5,3,2,0.57142,2004-03-25,2003021147,1,H,Bergeron,,,,,,,TOR,8470638,C,1,0,1,1,0,1,Patrice Bergeron,BOS,3,4,7,2
,,,9,4,5,0.55555,2004-02-21,2003020912,1,R,Bergeron,,,,,,,CAR,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,4,5,9,2
,,,0,0,0,,2004-02-24,2003020930,1,R,Bergeron,,,,,,,NYI,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,0,0,0,2
