id,activePlayer,blockedShots,faceoffWinPctg,faceoffsLost,faceoffsTaken,faceoffsWon,firstName,firstSeasonForGameType,franchiseId,gameTypeId,gamesPlayed,giveaways,hits,lastName,lastSeasonForGameType,missedShots,playerId,positionCode,seasonsPlayed,shifts,takeaways,teamAbbrevs,timeOnIce
6386,True,266,,309,500,191,David,20072008,,2,1055,373,1292,Perron,20222023,791,8474102,L,16,23247,533,"STL,EDM,PIT,ANA,VGK,DET",1070991
7566,False,23,,254,500,246,Colby,20172018,,2,67,13,93,Cave,20192020,26,8477529,C,3,1107,26,"BOS,EDM",47581
6185,False,69,,285,501,216,Peter,20072008,,2,297,83,147,Mueller,20122013,250,8473526,C,5,5989,120,"PHX,COL,FLA",281341
7090,False,26,,268,501,233,Tyler,20142015,,2,84,9,77,Graovac,20202021,32,8476344,C,6,1136,30,"MIN,WSH,VAN",46953
6341,False,236,,308,503,195,Paul,20102011,,2,521,186,917,Byron,20212022,208,8474038,L,12,11045,244,"BUF,CGY,MTL",444987
4867,False,33,,281,506,225,Rickard,20022003,,2,60,14,35,Wallin,20092010,21,8467491,C,3,1014,31,TOR,45534
7129,True,36,,245,507,262,Andy,20142015,,2,188,37,314,Andreoff,20222023,72,8476404,C,8,2511,31,"LAK,PHI,NYI",104334
7391,True,128,,307,508,201,Vinnie,20152016,,2,360,131,242,Hinostroza,20222023,189,8476994,C,8,6448,155,"CHI,ARI,FLA,BUF",290163
5546,False,376,,291,511,220,Dustin,20032004,,2,1265,725,3632,Brown,20212022,1315,8470606,R,18,29355,477,LAK,1366949
7125,False,102,,288,520,232,Logan,20152016,,2,232,41,295,Shaw,20212022,103,8476400,R,5,3575,68,"FLA,ANA,MTL,WPG,OTT",146186
5620,False,177,,312,524,212,Clarke,20062007,,2,552,264,602,MacArthur,20162017,321,8470667,L,11,11153,183,"BUF,ATL,TOR,OTT",514877
7034,False,310,,312,526,214,Matt,20112012,,2,449,144,519,Read,20182019,342,8476177,R,8,9694,195,"PHI,MIN",440521
4605,False,29,,232,534,302,Trent,20002001,,2,50,12,34,Whitfield,20112012,18,8465056,C,8,808,15,"STL,BOS",34898
5430,False,290,,308,537,229,Eric,20052006,,2,593,131,1079,Nystrom,20152016,272,8470180,L,10,10761,169,"CGY,MIN,DAL,NSH",456317
7424,False,166,,316,542,226,Tim,20142015,,2,276,67,379,Schaller,20192020,119,8477213,L,6,4800,84,"BUF,BOS,VAN,LAK",196360
5464,False,410,,316,543,227,Chris,20032004,,2,709,180,760,Higgins,20152016,579,8470274,L,12,15562,415,"MTL,CGY,NYR,VAN,FLA",712162
17634,True,29,,302,543,241,Tommy,20212022,,2,78,20,13,Novak,20222023,40,8478438,C,2,1278,40,NSH,63945
4161,False,33,,283,546,263,Geoff,19901991,,2,176,135,57,Sanderson,20072008,111,8457921,L,17,3062,67,"CBJ,PHX,PHI,EDM",136950
5935,False,210,,325,549,224,Benoit,20062007,,2,625,261,689,Pouliot,20172018,377,8471678,L,12,12064,298,"MIN,MTL,BOS,TBL,NYR,EDM,BUF",511010
5822,False,102,,304,550,246,Tyler,20072008,,2,527,120,506,Kennedy,20152016,405,8471311,C,9,9113,179,"PIT,SJS,NYI,NJD",416728
7299,True,37,,273,551,278,Brendan,20152016,,2,153,34,228,Gaunce,20222023,64,8476867,C,7,2357,47,"VAN,BOS,CBJ",96950
4639,False,94,,315,552,237,Marcus,19981999,,2,180,45,48,Nilson,20072008,77,8465253,L,9,3513,79,CGY,139526
4753,False,31,,290,556,266,Serge,20002001,,2,76,11,29,Payer,20062007,24,8466421,C,4,1073,20,"FLA,OTT",44208
8344,True,82,,321,559,238,Philipp,20202021,,2,191,50,101,Kurashev,20222023,79,8480798,C,3,3462,84,CHI,167212
4709,False,252,,296,561,265,Jason,20002001,,2,977,316,1316,Chimera,20172018,538,8466251,L,17,19036,246,"CBJ,WSH,NYI,ANA",819276
7757,True,189,,324,563,239,Anthony,20162017,,2,490,246,490,Beauvillier,20222023,314,8478463,L,7,9590,189,"NYI,VAN",457062
6224,False,454,,319,569,250,Nikolay,20082009,,2,669,219,1012,Kulemin,20172018,451,8473579,L,10,14087,327,"TOR,NYI",613044
7507,True,58,,307,569,262,Laurent,20152016,,2,94,20,87,Dauphin,20222023,33,8477460,C,6,1541,39,"ARI,MTL",66235
7797,True,94,,347,571,224,Denis,20162017,,2,257,88,225,Malgin,20222023,130,8478843,C,5,4326,119,"FLA,TOR,COL",186991
5913,False,42,,309,573,264,Tim,20082009,,2,101,22,181,Sestito,20142015,25,8471636,L,7,1465,16,"EDM,NJD",59730
4359,False,89,,270,582,312,Miroslav,19951996,,2,346,186,122,Satan,20092010,298,8459534,R,14,7013,171,"NYI,PIT,BOS",369942
4392,False,108,,309,585,276,Petr,19951996,,2,409,192,83,Sykora,20112012,421,8460465,R,15,8077,110,"ANA,NYR,EDM,PIT,MIN,NJD",397945
5931,False,373,,360,589,229,Bobby,20072008,,2,866,463,1249,Ryan,20202021,838,8471676,R,14,18622,479,"ANA,OTT,DET",878285
6818,False,50,,311,590,279,Phil,20132014,,2,97,30,67,Varone,20182019,20,8475321,C,5,1319,17,"BUF,OTT,PHI",57477
5479,False,274,,384,593,209,Patrick,20082009,,2,416,86,728,Dwyer,20142015,246,8470302,R,7,8324,185,CAR,340829
6211,False,412,,346,598,252,Michael,20082009,,2,858,314,617,Frolik,20202021,626,8473564,R,13,17884,502,"FLA,CHI,WPG,CGY,BUF,MTL",796611
5016,False,113,,321,603,282,Sean,20012002,,2,417,181,679,Avery,20112012,374,8468224,L,10,7881,124,"LAK,NYR,DAL",353741
6325,False,29,,319,604,285,Jim,20102011,,2,77,19,80,O'Brien,20172018,29,8474024,C,5,1260,27,"OTT,NJD",51607
6725,True,317,,340,607,267,Chris,20122013,,2,733,412,1415,Kreider,20222023,722,8475184,L,11,15859,234,NYR,736371
4327,False,145,,340,614,274,Todd,19951996,,2,531,382,663,Bertuzzi,20132014,349,8459444,R,18,11519,182,"VAN,DET,FLA,ANA,CGY",534021
4620,False,104,,340,615,275,Dan,19992000,,2,223,28,413,Hinote,20082009,64,8465175,R,9,4198,56,"COL,STL",148923
4335,False,84,,407,618,211,David,20002001,,2,228,69,116,Vyborny,20072008,113,8459455,R,7,5549,127,CBJ,260711
4366,False,44,,308,619,311,Andreas,19992000,,2,111,16,47,Karlsson,20072008,26,8459571,C,5,1390,24,TBL,60370
6127,True,312,,381,620,239,Brad,20092010,,2,947,780,843,Marchand,20222023,793,8473419,L,14,21471,606,BOS,1018186
5718,False,33,,324,622,298,Darryl,20072008,,2,84,28,115,Boyce,20112012,30,8470986,C,3,1355,19,"TOR,CBJ",53775
4599,False,56,,322,628,306,Craig,19981999,,2,123,21,107,MacDonald,20082009,56,8465041,C,8,1934,38,"CGY,CHI,TBL,CBJ",79718
6054,False,62,,398,628,230,Tim,20082009,,2,162,57,236,Kennedy,20132014,52,8471842,L,6,2733,67,"BUF,FLA,SJS,PHX",119755
7164,True,250,,359,629,270,Brandon,20112012,,2,781,273,386,Saad,20222023,599,8476438,L,12,17302,407,"CHI,CBJ,COL,STL",786219
7933,True,68,,318,630,312,Sheldon,20182019,,2,122,27,181,Dries,20222023,59,8480326,C,5,1870,14,"COL,VAN",75627
4104,False,19,,332,634,302,Pierre,19871988,,2,79,37,19,Turgeon,20062007,26,8451991,C,19,1422,33,COL,57927
6156,True,342,,344,634,290,Milan,20072008,,2,1173,643,3263,Lucic,20222023,840,8473473,L,16,22056,393,"BOS,LAK,EDM,CGY",1056732
6763,True,441,,334,636,302,Marcus,20112012,,2,743,222,2182,Foligno,20222023,345,8475220,L,12,13676,304,"BUF,MIN",634718
