hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,inpatient_beds_used_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,inpatient_beds_used_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50,previous_day_admission_adult_covid_confirmed_60,previous_day_admission_adult_covid_confirmed_70,previous_day_admission_adult_covid_confirmed_80,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18,previous_day_admission_adult_covid_suspected_20,previous_day_admission_adult_covid_suspected_30,previous_day_admission_adult_covid_suspected_40,previous_day_admission_adult_covid_suspected_50,previous_day_admission_adult_covid_suspected_60,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_personnel_covid_vaccinated_doses_administered_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day,is_corrected
410005,2022-01-14,RI,410005,OUR LADY OF FATIMA HOSPITAL,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,2904,Short Term,44007,True,,,119.1,116.3,116.3,45.6,45.6,45.6,0.0,0.0,119.1,6.0,6.0,6.6,6.6,5.6,5.6,0.0,0.0,,,,834,814.0,814,319,319,319,0,0,834,42,42,46,46,39.0,39.0,0.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,0,18,0.0,0.0,-999999.0,-999999.0,-999999.0,6.0,-999999.0,-999999.0,0.0,0.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422,0.0,POINT (-71.458498 41.855796),[C410005-A],7,7,7,7,,,,,,,False
410012,2022-01-21,RI,410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,2906,Short Term,44007,True,,,275.0,227.3,227.3,44.0,44.0,43.1,0.0,0.0,275.0,16.0,16.0,12.1,12.1,4.6,4.1,,,,,,1925,1591.0,1591,308,308,302,0,0,1925,112,112,85,85,32.0,29.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,23,0.0,0.0,-999999.0,-999999.0,-999999.0,5.0,5.0,7.0,0.0,0.0,299,27.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,4.0,0.0,0.0,1083,,POINT (-71.397541 41.851687),[C410012-A],7,7,7,7,,,,,,,True
412001,2022-01-21,RI,412001,ELEANOR SLATER HOSPITAL,111 HOWARD AVE,CRANSTON,2921,Long Term,44007,True,,,300.0,204.0,204.0,7.3,7.3,7.3,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,900,612.0,612,22,22,22,0,0,900,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,POINT (-71.464143 41.744029),[C412001-A],3,3,3,3,,,,,,,False
410009,2022-01-14,RI,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,2886,Short Term,44003,True,,,213.9,183.1,183.1,75.3,75.3,75.1,0.0,0.0,213.9,11.0,11.0,11.3,11.3,4.7,4.6,,,,,,1497,1282.0,1282,527,527,526,0,0,1497,77,77,79,79,33.0,32.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,52,0.0,0.0,5.0,0.0,5.0,11.0,17.0,10.0,0.0,0.0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769,,POINT (-71.478358 41.704716),"[C410009-A, C410009-B]",7,7,7,7,,,,,,,False
412001,2022-01-14,RI,412001,ELEANOR SLATER HOSPITAL,111 HOWARD AVE,CRANSTON,2921,Long Term,44007,True,,,300.0,204.0,204.0,37.5,37.5,37.5,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1800,1224.0,1224,225,225,225,0,0,1800,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,POINT (-71.464143 41.744029),[C412001-A],6,6,6,6,,,,,,,False
410010,2022-01-21,RI,410010,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,101 DUDLEY STREET,PROVIDENCE,2905,Short Term,44007,True,,,87.3,136.7,74.4,12.0,7.9,7.9,4.1,0.0,152.6,60.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,,,,611,957.0,521,84,55,55,29,0,1068,420,0,399,0,0.0,0.0,0.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,30,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,434,0.0,POINT (-71.411753 41.810179),[C410010-A],7,7,7,7,,,,,,,False
410009,2022-01-21,RI,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,2886,Short Term,44003,True,,,200.3,183.3,175.7,56.4,56.4,56.3,0.0,0.0,200.3,9.9,9.9,9.9,9.9,0.0,0.0,,,,,,1402,1283.0,1230,395,395,394,0,0,1402,69,69,69,69,21.0,20.0,,,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,43,0.0,13.0,13.0,0.0,4.0,6.0,12.0,14.0,0.0,0.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789,,POINT (-71.478358 41.704716),"[C410009-A, C410009-B]",7,7,7,7,,,,,,,True
410008,2022-01-14,RI,410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,WAKEFIELD,2879,Short Term,44009,True,,,100.1,73.9,73.9,17.3,17.3,17.3,0.0,0.0,100.1,6.7,6.7,6.0,6.0,4.0,4.0,,0.0,,,,701,517.0,517,121,121,121,0,0,701,47,47,42,42,28.0,28.0,8.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,27,0.0,0.0,13.0,4.0,5.0,9.0,5.0,14.0,0.0,0.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,,POINT (-71.495931 41.431908),[C410008-A],7,7,7,7,,,,,0.0,0.0,False
410004,2022-01-21,RI,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,2908,Short Term,44007,True,,,112.1,92.4,92.4,39.1,39.1,38.9,0.0,0.0,112.1,8.0,8.0,7.9,7.9,6.0,6.0,0.0,0.0,,,,785,647.0,647,274,274,272,0,0,785,56,56,55,55,42.0,42.0,0.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,0,22,0.0,0.0,0.0,4.0,6.0,7.0,6.0,0.0,0.0,0.0,72,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464,0.0,POINT (-71.434909 41.833925),[C410004-A],7,7,7,7,,,,,,,False
410008,2022-01-21,RI,410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,WAKEFIELD,2879,Short Term,44009,True,,,93.0,71.7,71.7,14.4,14.4,14.4,0.0,0.0,93.0,6.3,6.3,5.9,5.9,6.0,6.0,0.0,0.0,,,,651,502.0,502,101,101,101,0,0,651,44,44,41,41,20.0,20.0,4.0,0.0,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,18,0.0,0.0,0.0,4.0,4.0,7.0,6.0,5.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419,0.0,POINT (-71.495931 41.431908),[C410008-A],7,7,7,7,,,,,,,False
