state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,geocoded_state,previous_day_admission_adult_covid_confirmed_18_19,previous_day_admission_adult_covid_confirmed_18_19_coverage,previous_day_admission_adult_covid_confirmed_20_29,previous_day_admission_adult_covid_confirmed_20_29_coverage,previous_day_admission_adult_covid_confirmed_30_39,previous_day_admission_adult_covid_confirmed_30_39_coverage,previous_day_admission_adult_covid_confirmed_40_49,previous_day_admission_adult_covid_confirmed_40_49_coverage,previous_day_admission_adult_covid_confirmed_50_59,previous_day_admission_adult_covid_confirmed_50_59_coverage,previous_day_admission_adult_covid_confirmed_60_69,previous_day_admission_adult_covid_confirmed_60_69_coverage,previous_day_admission_adult_covid_confirmed_70_79,previous_day_admission_adult_covid_confirmed_70_79_coverage,previous_day_admission_adult_covid_confirmed_80,previous_day_admission_adult_covid_confirmed_80_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18_19,previous_day_admission_adult_covid_suspected_18_19_coverage,previous_day_admission_adult_covid_suspected_20_29,previous_day_admission_adult_covid_suspected_20_29_coverage,previous_day_admission_adult_covid_suspected_30_39,previous_day_admission_adult_covid_suspected_30_39_coverage,previous_day_admission_adult_covid_suspected_40_49,previous_day_admission_adult_covid_suspected_40_49_coverage,previous_day_admission_adult_covid_suspected_50_59,previous_day_admission_adult_covid_suspected_50_59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60_69_coverage,previous_day_admission_adult_covid_suspected_70_79,previous_day_admission_adult_covid_suspected_70_79_coverage,previous_day_admission_adult_covid_suspected_80_,previous_day_admission_adult_covid_suspected_80_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
RI,2020-03-03,0,0,1,0,0,1,0,1,79,1,70,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.8860759493670886,1,70,79,0.0142857142857142,1,1,70,0.0126582278481012,1,1,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-04,0,0,1,0,0,1,0,1,79,1,70,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.8860759493670886,1,70,79,0.0142857142857142,1,1,70,0.0126582278481012,1,1,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-05,0,0,1,0,0,1,0,1,79,1,67,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.8481012658227848,1,67,79,0.0,1,0,67,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-06,0,0,1,0,0,1,0,1,79,1,55,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.6962025316455697,1,55,79,0.0,1,0,55,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-07,0,0,1,0,0,1,0,1,79,1,52,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.6582278481012658,1,52,79,0.0,1,0,52,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-08,0,0,1,0,0,1,0,1,79,1,40,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.5063291139240507,1,40,79,0.0,1,0,40,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-09,0,0,1,0,0,1,0,1,79,1,38,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.4810126582278481,1,38,79,0.0,1,0,38,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-10,0,0,1,0,0,1,0,1,79,1,56,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.7088607594936709,1,56,79,0.0,1,0,56,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-11,0,0,1,0,0,1,0,1,79,1,65,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.8227848101265823,1,65,79,0.0,1,0,65,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-12,0,0,1,0,0,1,0,1,79,1,69,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.8734177215189873,1,69,79,0.0,1,0,69,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-13,0,0,1,0,0,1,0,1,79,1,61,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.7721518987341772,1,61,79,0.0,1,0,61,0.0,1,0,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-14,0,0,1,0,0,1,0,1,79,1,58,1,2,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.7341772151898734,1,58,79,0.0344827586206896,1,2,58,0.0253164556962025,1,2,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
RI,2020-03-15,0,0,1,0,0,1,0,1,79,1,63,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.7974683544303798,1,63,79,0.0158730158730158,1,1,63,0.0126582278481012,1,1,79,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,,,,,,,,0,,0,,0,,0,,,0,0
