result.event,result.eventCode,result.eventTypeId,result.description,about.eventIdx,about.eventId,about.period,about.periodType,about.ordinalNum,about.periodTime,about.periodTimeRemaining,about.dateTime,about.goals.away,about.goals.home,data.timeout_id,game_id,game_type,home_team,away_team,away_final_score,home_final_score,timeout_team,timeout_against,score_diff,end_score_diff,before_timeout,end_result,game_seconds
Stoppage,WPG244,STOP,Home Timeout,170,244,2,REGULAR,2nd,14:31,05:29,2021-01-15T02:36:41Z,3,2,1,2020020012,R,Winnipeg Jets,Calgary Flames,3,4,Winnipeg Jets,Calgary Flames,-1.0,1.0,losing,winning,2071
Stoppage,ARI549,STOP,Home Timeout,304,549,3,REGULAR,3rd,17:56,02:04,2021-01-15T04:30:43Z,3,2,1,2020020014,R,Arizona Coyotes,San Jose Sharks,3,3,Arizona Coyotes,San Jose Sharks,-1.0,0.0,losing,tied,3476
Stoppage,ARI809,STOP,Visitor Timeout,329,809,4,OVERTIME,OT,03:13,01:47,2021-01-15T04:42:40Z,3,3,2,2020020014,R,Arizona Coyotes,San Jose Sharks,3,3,San Jose Sharks,Arizona Coyotes,0.0,0.0,tied,tied,3793
Stoppage,OTT372,STOP,Home Timeout,148,372,2,REGULAR,2nd,09:49,10:11,2021-01-17T01:24:36Z,2,1,1,2020020027,R,Ottawa Senators,Toronto Maple Leafs,3,2,Ottawa Senators,Toronto Maple Leafs,-1.0,-1.0,losing,losing,1789
Stoppage,OTT679,STOP,Visitor Timeout,269,679,3,REGULAR,3rd,11:44,08:16,2021-01-17T02:22:42Z,3,2,2,2020020027,R,Ottawa Senators,Toronto Maple Leafs,3,2,Toronto Maple Leafs,Ottawa Senators,1.0,1.0,winning,winning,3104
Stoppage,ARI592,STOP,Visitor Timeout,283,592,3,REGULAR,3rd,19:00,01:00,2021-01-16T23:27:05Z,2,5,1,2020020030,R,Arizona Coyotes,San Jose Sharks,3,5,San Jose Sharks,Arizona Coyotes,-3.0,-2.0,losing,losing,3540
Stoppage,DET451,STOP,Home Timeout,216,451,3,REGULAR,3rd,06:26,13:34,2021-01-18T19:13:16Z,3,1,1,2020020038,R,Detroit Red Wings,Columbus Blue Jackets,3,2,Detroit Red Wings,Columbus Blue Jackets,-2.0,-1.0,losing,losing,2786
Stoppage,CGY759,STOP,Visitor Timeout,250,759,3,REGULAR,3rd,16:56,03:04,2021-01-19T04:24:10Z,2,4,1,2020020042,R,Calgary Flames,Vancouver Canucks,2,5,Vancouver Canucks,Calgary Flames,-2.0,-3.0,losing,losing,3416
Stoppage,VGK1103,STOP,Visitor Timeout,328,1103,3,REGULAR,3rd,18:47,01:13,2021-01-19T05:49:38Z,2,3,1,2020020044,R,Vegas Golden Knights,Arizona Coyotes,2,4,Arizona Coyotes,Vegas Golden Knights,-1.0,-2.0,losing,losing,3527
Stoppage,ANA567,STOP,Visitor Timeout,302,567,3,REGULAR,3rd,19:55,00:05,2021-01-19T04:38:58Z,0,1,1,2020020045,R,Anaheim Ducks,Minnesota Wild,0,1,Minnesota Wild,Anaheim Ducks,-1.0,-1.0,losing,losing,3595
Stoppage,PIT445,STOP,Visitor Timeout,179,445,2,REGULAR,2nd,14:34,05:26,2021-01-20T01:33:03Z,4,2,1,2020020050,R,Pittsburgh Penguins,Washington Capitals,4,5,Washington Capitals,Pittsburgh Penguins,2.0,-1.0,winning,losing,2074
Stoppage,STL586,STOP,Visitor Timeout,198,586,3,REGULAR,3rd,10:19,09:41,2021-01-21T04:10:13Z,1,1,1,2020020055,R,St. Louis Blues,San Jose Sharks,1,1,San Jose Sharks,St. Louis Blues,0.0,0.0,tied,tied,3019
Stoppage,STL808,STOP,Home Timeout,241,808,4,OVERTIME,OT,04:55,00:05,2021-01-21T04:38:10Z,1,1,2,2020020055,R,St. Louis Blues,San Jose Sharks,1,1,St. Louis Blues,San Jose Sharks,0.0,0.0,tied,tied,3895
Stoppage,TOR570,STOP,Home Timeout,256,570,3,REGULAR,3rd,18:54,01:06,2021-01-21T02:30:25Z,3,1,1,2020020056,R,Toronto Maple Leafs,Edmonton Oilers,3,1,Toronto Maple Leafs,Edmonton Oilers,-2.0,-2.0,losing,losing,3534
Stoppage,ANA613,STOP,Home Timeout,325,613,3,REGULAR,3rd,18:31,01:29,2021-01-21T05:14:55Z,3,2,1,2020020059,R,Anaheim Ducks,Minnesota Wild,3,2,Anaheim Ducks,Minnesota Wild,-1.0,-1.0,losing,losing,3511
Stoppage,BOS810,STOP,Visitor Timeout,299,810,3,REGULAR,3rd,19:39,00:21,2021-01-22T02:40:11Z,4,4,1,2020020060,R,Boston Bruins,Philadelphia Flyers,4,4,Philadelphia Flyers,Boston Bruins,0.0,0.0,tied,tied,3579
Stoppage,OTT327,STOP,Home Timeout,161,327,2,REGULAR,2nd,07:05,12:55,2021-01-22T01:10:56Z,3,0,1,2020020064,R,Ottawa Senators,Winnipeg Jets,4,1,Ottawa Senators,Winnipeg Jets,-3.0,-3.0,losing,losing,1625
Stoppage,PIT362,STOP,Home Timeout,125,362,2,REGULAR,2nd,05:42,14:18,2021-01-23T01:09:37Z,3,1,1,2020020068,R,Pittsburgh Penguins,New York Rangers,3,3,Pittsburgh Penguins,New York Rangers,-2.0,0.0,losing,tied,1542
Stoppage,NJD718,STOP,Visitor Timeout,272,718,3,REGULAR,3rd,19:34,00:26,2021-01-25T02:31:42Z,0,2,1,2020020081,R,New Jersey Devils,New York Islanders,0,2,New York Islanders,New Jersey Devils,-2.0,-2.0,losing,losing,3574
Stoppage,PIT695,STOP,Visitor Timeout,306,695,3,REGULAR,3rd,18:29,01:31,2021-01-25T02:30:26Z,2,3,1,2020020083,R,Pittsburgh Penguins,New York Rangers,2,3,New York Rangers,Pittsburgh Penguins,-1.0,-1.0,losing,losing,3509
Stoppage,STL457,STOP,Home Timeout,162,457,2,REGULAR,2nd,08:22,11:38,2021-01-25T02:16:55Z,4,1,1,2020020085,R,St. Louis Blues,Los Angeles Kings,6,3,St. Louis Blues,Los Angeles Kings,-3.0,-3.0,losing,losing,1702
Stoppage,WPG617,STOP,Visitor Timeout,295,617,3,REGULAR,3rd,17:57,02:03,2021-01-25T04:31:49Z,3,3,1,2020020086,R,Winnipeg Jets,Edmonton Oilers,4,3,Edmonton Oilers,Winnipeg Jets,0.0,1.0,tied,winning,3477
Stoppage,CGY756,STOP,Home Timeout,264,756,3,REGULAR,3rd,19:22,00:38,2021-01-24T23:28:35Z,3,2,1,2020020087,R,Calgary Flames,Toronto Maple Leafs,3,2,Calgary Flames,Toronto Maple Leafs,-1.0,-1.0,losing,losing,3562
Stoppage,MIN638,STOP,Home Timeout,304,638,3,REGULAR,3rd,18:31,01:29,2021-01-25T03:38:18Z,4,3,1,2020020088,R,Minnesota Wild,San Jose Sharks,5,3,Minnesota Wild,San Jose Sharks,-1.0,-2.0,losing,losing,3511
Stoppage,BUF638,STOP,Visitor Timeout,255,638,3,REGULAR,3rd,18:23,01:37,2021-01-27T02:27:45Z,2,3,1,2020020094,R,Buffalo Sabres,New York Rangers,2,3,New York Rangers,Buffalo Sabres,-1.0,-1.0,losing,losing,3503
Stoppage,NJD619,STOP,Home Timeout,266,619,3,REGULAR,3rd,18:52,01:08,2021-01-27T02:28:42Z,5,2,1,2020020095,R,New Jersey Devils,Philadelphia Flyers,5,3,New Jersey Devils,Philadelphia Flyers,-3.0,-2.0,losing,losing,3532
Stoppage,CBJ490,STOP,Home Timeout,263,490,4,OVERTIME,OT,02:44,02:16,2021-01-27T02:32:33Z,3,3,1,2020020098,R,Columbus Blue Jackets,Florida Panthers,3,3,Columbus Blue Jackets,Florida Panthers,0.0,0.0,tied,tied,3764
Stoppage,MIN811,STOP,Visitor Timeout,188,811,3,REGULAR,3rd,01:09,18:51,2021-01-27T02:55:59Z,1,1,1,2020020102,R,Minnesota Wild,Los Angeles Kings,2,1,Los Angeles Kings,Minnesota Wild,0.0,1.0,tied,winning,2469
Stoppage,VGK676,STOP,Home Timeout,278,676,3,REGULAR,3rd,10:15,09:45,2021-01-27T04:19:01Z,4,2,1,2020020106,R,Vegas Golden Knights,St. Louis Blues,4,4,Vegas Golden Knights,St. Louis Blues,-2.0,0.0,losing,tied,3015
Stoppage,BUF579,STOP,Visitor Timeout,234,579,3,REGULAR,3rd,10:46,09:14,2021-01-29T02:16:05Z,2,2,1,2020020110,R,Buffalo Sabres,New York Rangers,3,2,New York Rangers,Buffalo Sabres,0.0,1.0,tied,winning,3046
Stoppage,WSH353,STOP,Visitor Timeout,140,353,2,REGULAR,2nd,11:11,08:49,2021-01-29T01:20:48Z,3,3,1,2020020112,R,Washington Capitals,New York Islanders,3,6,New York Islanders,Washington Capitals,0.0,-3.0,tied,losing,1871
Stoppage,VAN598,STOP,Visitor Timeout,254,598,3,REGULAR,3rd,10:39,09:21,2021-01-29T05:12:01Z,1,4,1,2020020117,R,Vancouver Canucks,Ottawa Senators,1,4,Ottawa Senators,Vancouver Canucks,-3.0,-3.0,losing,losing,3039
Stoppage,MIN717,STOP,Visitor Timeout,252,717,3,REGULAR,3rd,18:08,01:52,2021-01-29T03:37:46Z,3,5,1,2020020118,R,Minnesota Wild,Los Angeles Kings,3,5,Los Angeles Kings,Minnesota Wild,-2.0,-2.0,losing,losing,3488
Stoppage,BUF803,STOP,Home Timeout,280,803,3,REGULAR,3rd,18:08,01:52,2021-01-30T20:28:48Z,3,3,1,2020020124,R,Buffalo Sabres,New Jersey Devils,3,3,Buffalo Sabres,New Jersey Devils,0.0,0.0,tied,tied,3488
Stoppage,TBL324,STOP,Visitor Timeout,111,324,2,REGULAR,2nd,06:41,13:19,2021-01-31T01:14:16Z,1,1,1,2020020129,R,Tampa Bay Lightning,Nashville Predators,3,4,Nashville Predators,Tampa Bay Lightning,0.0,-1.0,tied,losing,1601
Stoppage,MTL655,STOP,Home Timeout,330,655,3,REGULAR,3rd,18:57,01:03,2021-01-31T02:43:43Z,1,0,1,2020020131,R,Montréal Canadiens,Calgary Flames,2,0,Montréal Canadiens,Calgary Flames,-1.0,-2.0,losing,losing,3537
Stoppage,PHI694,STOP,Home Timeout,284,694,4,OVERTIME,OT,03:40,01:20,2021-02-01T02:32:06Z,3,3,1,2020020137,R,Philadelphia Flyers,New York Islanders,3,4,Philadelphia Flyers,New York Islanders,0.0,1.0,tied,winning,3820
Stoppage,MTL248,STOP,Visitor Timeout,151,248,2,REGULAR,2nd,08:40,11:20,2021-02-02T01:16:31Z,1,5,1,2020020147,R,Montréal Canadiens,Vancouver Canucks,2,6,Vancouver Canucks,Montréal Canadiens,-4.0,-4.0,losing,losing,1720
Stoppage,MTL650,STOP,Visitor Timeout,329,650,3,REGULAR,3rd,17:56,02:04,2021-02-03T02:31:32Z,2,4,1,2020020155,R,Montréal Canadiens,Vancouver Canucks,3,5,Vancouver Canucks,Montréal Canadiens,-2.0,-2.0,losing,losing,3476
Stoppage,PIT652,STOP,Home Timeout,262,652,3,REGULAR,3rd,13:56,06:04,2021-04-21T01:25:18Z,5,7,1,2020020166,R,Pittsburgh Penguins,New Jersey Devils,6,7,Pittsburgh Penguins,New Jersey Devils,2.0,1.0,winning,winning,3236
Stoppage,PIT667,STOP,Visitor Timeout,290,667,3,REGULAR,3rd,19:19,00:41,2021-04-21T01:38:34Z,5,7,2,2020020166,R,Pittsburgh Penguins,New Jersey Devils,6,7,New Jersey Devils,Pittsburgh Penguins,-2.0,-1.0,losing,losing,3559
Stoppage,STL548,STOP,Home Timeout,277,548,3,REGULAR,3rd,19:35,00:25,2021-02-05T03:29:18Z,4,3,1,2020020169,R,St. Louis Blues,Arizona Coyotes,4,3,St. Louis Blues,Arizona Coyotes,-1.0,-1.0,losing,losing,3575
Stoppage,MTL690,STOP,Visitor Timeout,355,690,3,REGULAR,3rd,19:35,00:25,2021-02-05T02:38:41Z,3,2,1,2020020170,R,Montréal Canadiens,Ottawa Senators,3,2,Ottawa Senators,Montréal Canadiens,1.0,1.0,winning,winning,3575
Stoppage,FLA682,STOP,Visitor Timeout,338,682,3,REGULAR,3rd,19:51,00:09,2021-02-06T02:37:26Z,1,2,1,2020020176,R,Florida Panthers,Nashville Predators,1,2,Nashville Predators,Florida Panthers,-1.0,-1.0,losing,losing,3591
