state,date,fy_value,fy_pct,ytd_value,ytd_pct
Alabama,1999,246756.0,,38632.0,
Alabama,2000,221911.0,-0.1006865081294882,37169.0,-0.037870159453302965
Alabama,2001,230187.0,0.0372942305699131,36561.0,-0.01635771745271597
Alabama,2002,221008.0,-0.0398762745072484,37211.0,0.017778507152430123
Alabama,2003,225479.0,0.020230036921740302,39619.0,0.06471204751283222
Alabama,2004,229997.0,0.020037342723712603,40752.0,0.02859739014109386
Alabama,2005,235873.0,0.025548159323817377,39572.0,-0.02895563407930901
Alabama,2006,243176.0,0.030961576780725197,43069.0,0.08837056504599206
Alabama,2007,245355.0,0.008960588215942256,44004.0,0.021709350112609993
Alabama,2008,299432.0,0.220403089401072,49081.0,0.11537587492046186
Alabama,2009,317868.0,0.06156990568810272,60161.0,0.2257492716122329
Alabama,2010,308607.0,-0.02913473517309073,54853.0,-0.0882299163910174
Alabama,2011,336102.0,0.08909389612030827,56442.0,0.028968333546022906
Alabama,2012,431356.0,0.28340801304365937,68351.0,0.2109953580666879
Alabama,2013,563880.0,0.30722651359897624,107888.0,0.5784406958201052
Alabama,2014,621305.0,0.10183904376817754,116085.0,0.07597693904790148
Alabama,2015,737509.0,0.18703213397606655,113339.0,-0.023655080329069267
Alabama,2016,616947.0,-0.1634719033937213,150629.0,0.3290129611166501
Alabama,2017,477345.0,-0.2262787565220351,87793.0,-0.4171573866918057
Alabama,2018,474294.0,-0.006391603557175607,83648.0,-0.047213331358992194
Alabama,2019,690084.0,0.45497096737466625,91192.0,0.09018745218056612
Alabama,2020,1085475.0,0.5729606830472811,154668.0,0.6960698306869024
Alabama,2021,180312.0,-0.8338865473640572,180312.0,0.16580029482504455
Alaska,1999,43073.0,-0.7611196148897467,4691.0,-0.9739839833178047
Alaska,2000,39959.0,-0.07229586980242841,4769.0,0.016627584736729872
Alaska,2001,39959.0,0.0,4752.0,-0.0035646886139651945
Alaska,2002,36793.0,-0.0792312119922921,4467.0,-0.059974747474747514
Alaska,2003,37059.0,0.007229636072078938,5830.0,0.3051264830982763
Alaska,2004,40504.0,0.09295987479424705,5016.0,-0.13962264150943393
Alaska,2005,44514.0,0.09900256764763982,5365.0,0.0695773524720893
Alaska,2006,47037.0,0.05667879768162831,6151.0,0.1465051258154706
Alaska,2007,49604.0,0.0545740587197312,6438.0,0.04665907982441886
Alaska,2008,61729.0,0.24443593258608187,7110.0,0.10438024231127674
Alaska,2009,60780.0,-0.015373649338236484,8879.0,0.2488045007032349
Alaska,2010,65909.0,0.08438631128660745,8470.0,-0.04606374591733309
Alaska,2011,70198.0,0.06507457251665172,9209.0,0.0872491145218417
Alaska,2012,85342.0,0.21573264195561137,9536.0,0.03550874144858285
Alaska,2013,93405.0,0.09447868575847762,19372.0,1.0314597315436242
Alaska,2014,87623.0,-0.06190246774797925,11304.0,-0.4164773900474912
Alaska,2015,85621.0,-0.022847882405304554,12079.0,0.06855980184005661
Alaska,2016,87647.0,0.023662419266301526,12864.0,0.06498882357811087
Alaska,2017,80839.0,-0.07767521991625492,10417.0,-0.1902207711442786
Alaska,2018,78761.0,-0.02570541446579,9821.0,-0.05721416914658728
Alaska,2019,76923.0,-0.02333642284887194,9815.0,-0.0006109357499236578
Alaska,2020,98952.0,0.28637728637728643,10172.0,0.03637289862455417
Alaska,2021,15685.0,-0.8414888026517908,15685.0,0.5419779787652379
Arizona,1999,173548.0,10.064583997449793,27405.0,0.7472107108702581
Arizona,2000,148263.0,-0.14569456288750082,26074.0,-0.04856777960226233
Arizona,2001,147582.0,-0.004593189130126851,23979.0,-0.08034823962568072
Arizona,2002,142260.0,-0.036061308289628835,23861.0,-0.004920972517619582
Arizona,2003,145719.0,0.02431463517503163,25116.0,0.0525962868278782
Arizona,2004,155719.0,0.0686252307523385,27049.0,0.0769628921802834
Arizona,2005,176649.0,0.13440877478021318,28327.0,0.047247587711190864
Arizona,2006,204178.0,0.15584011231311812,33597.0,0.1860415857662301
Arizona,2007,192071.0,-0.0592963002870045,34653.0,0.03143137780158933
Arizona,2008,208721.0,0.08668669398295425,36581.0,0.05563731855827769
Arizona,2009,215379.0,0.03189904226215856,41716.0,0.1403734178945355
Arizona,2010,206050.0,-0.04331434355252828,35424.0,-0.15082941796912452
Arizona,2011,251477.0,0.22046590633341423,44220.0,0.24830623306233068
Arizona,2012,339663.0,0.35067222847417456,52543.0,0.18821800090456797
Arizona,2013,363036.0,0.06881232280230698,79465.0,0.5123803361056658
Arizona,2014,310672.0,-0.14423913881818884,54115.0,-0.31900836846410374
Arizona,2015,331442.0,0.06685507544934843,55183.0,0.01973574794419286
Arizona,2016,416279.0,0.255963335968284,67217.0,0.21807440697316194
Arizona,2017,384930.0,-0.07530766625268148,68754.0,0.02286623919544173
Arizona,2018,377838.0,-0.018424129062426964,64908.0,-0.0559385635744829
Arizona,2019,372912.0,-0.013037333460371947,61815.0,-0.047652061379182875
Arizona,2020,665458.0,0.7844907109452095,70324.0,0.13765267329936104
Arizona,2021,106044.0,-0.8406450895473494,106044.0,0.5079347022353677
Arkansas,1999,184616.0,0.7409377239636377,27301.0,-0.7425502621553317
Arkansas,2000,169628.0,-0.08118472938423538,28667.0,0.05003479726017357
Arkansas,2001,166062.0,-0.021022472704977924,27585.0,-0.03774374716573059
Arkansas,2002,153424.0,-0.07610410569546311,25950.0,-0.05927134312126159
Arkansas,2003,150249.0,-0.020694285118364797,25951.0,3.853564547195987e-05
Arkansas,2004,158366.0,0.05402365406758114,27045.0,0.0421563716234441
Arkansas,2005,164001.0,0.035582132528446664,27549.0,0.018635607321131342
Arkansas,2006,170129.0,0.03736562581935465,28484.0,0.033939525935605674
Arkansas,2007,169824.0,-0.0017927572606668551,29395.0,0.03198286757477886
Arkansas,2008,191799.0,0.12939867156585638,31520.0,0.07229120598741279
Arkansas,2009,209842.0,0.09407244041939733,39253.0,0.2453362944162436
Arkansas,2010,191448.0,-0.08765642721666778,32494.0,-0.17219066058645194
Arkansas,2011,206228.0,0.07720111988633982,35355.0,0.08804702406598142
Arkansas,2012,246193.0,0.19379036794227744,41416.0,0.1714326120774996
Arkansas,2013,279736.0,0.1362467657488231,62833.0,0.51711898783079
Arkansas,2014,234282.0,-0.16248891812280153,41757.0,-0.33542883516623434
Arkansas,2015,257346.0,0.09844546315978175,42226.0,0.011231649783269848
Arkansas,2016,266014.0,0.03368227988777761,47943.0,0.13539051769052235
Arkansas,2017,237629.0,-0.10670491026788065,39310.0,-0.18006799741359536
Arkansas,2018,248439.0,0.04549108063409779,41749.0,0.062045281098956906
Arkansas,2019,221344.0,-0.10906097673875681,37547.0,-0.10064911734412796
Arkansas,2020,324741.0,0.467132608067081,40571.0,0.08053905771433145
Arkansas,2021,49001.0,-0.8491074425465217,49001.0,0.20778388504103917
California,1999,883144.0,17.022979122875043,114424.0,1.3351360176322933
California,2000,794506.0,-0.10036641816057179,116705.0,0.019934629098790513
California,2001,854569.0,0.07559791870671839,119839.0,0.02685403367464967
California,2002,684390.0,-0.19914015135114893,115564.0,-0.03567286108862722
California,2003,524431.0,-0.23372492292406377,81009.0,-0.29901180298362817
California,2004,548843.0,0.046549498408751555,84096.0,0.03810687701366522
California,2005,611022.0,0.1132910504461202,90373.0,0.07464088660578394
California,2006,617820.0,0.011125622318018058,112879.0,0.24903455678133946
California,2007,855943.0,0.38542455731442815,125019.0,0.1075487911834796
California,2008,780398.0,-0.08825938175789738,118252.0,-0.054127772578568045
California,2009,788164.0,0.009951332525198753,134775.0,0.13972702364442036
California,2010,816399.0,0.03582376256718134,127319.0,-0.05532183268410318
California,2011,905701.0,0.10938523932537891,136464.0,0.07182745701741289
California,2012,1132603.0,0.25052638784764514,164606.0,0.20622288662211274
California,2013,1368295.0,0.20809762997272663,241853.0,0.4692842302224707
California,2014,1474616.0,0.07770327305149838,211395.0,-0.12593600244776781
California,2015,1761079.0,0.19426277756378618,227081.0,0.07420232266609905
California,2016,2377167.0,0.34983552696954545,435756.0,0.918945222189439
California,2017,1570110.0,-0.33950370335782043,260250.0,-0.40276209621898496
California,2018,1297132.0,-0.17385915636484073,227559.0,-0.12561383285302596
California,2019,1240632.0,-0.04355763330177653,195472.0,-0.1410051898628487
California,2020,1601054.0,0.29051483437473813,191997.0,-0.017777482196938643
California,2021,254216.0,-0.8412195965907459,254216.0,0.3240623551409658
Colorado,1999,257308.0,0.012162885105579502,41742.0,-0.8358010510746766
Colorado,2000,307512.0,0.19511247221229033,48426.0,0.1601264913037228
Colorado,2001,348696.0,0.13392648091781778,47340.0,-0.022425969520505462
Colorado,2002,183754.0,-0.47302521393993624,29480.0,-0.3772708069286016
Colorado,2003,181257.0,-0.013588819835214427,28941.0,-0.018283582089552275
Colorado,2004,194191.0,0.07135724413401956,28311.0,-0.02176842541722812
Colorado,2005,206287.0,0.06228918950929763,33967.0,0.19978100385009356
Colorado,2006,214749.0,0.04102051995520806,33659.0,-0.009067624459033752
Colorado,2007,221737.0,0.03254031450670314,35308.0,0.04899135446685876
Colorado,2008,285521.0,0.28765609708799156,38934.0,0.10269627279936566
Colorado,2009,313641.0,0.09848662620262605,57382.0,0.47382750295371645
Colorado,2010,300820.0,-0.040877946441951196,49273.0,-0.14131609215433416
Colorado,2011,336296.0,0.1179309886310751,54479.0,0.10565624175511945
Colorado,2012,414838.0,0.2335502057711063,65942.0,0.21041135116283338
Colorado,2013,514658.0,0.2406240508343016,108291.0,0.6422158866883019
Colorado,2014,413284.0,-0.19697352416556235,70264.0,-0.35115568237434325
Colorado,2015,454062.0,0.09866822814335907,70527.0,0.003743026300808472
Colorado,2016,540514.0,0.19039690614938043,95516.0,0.3543182043756292
Colorado,2017,496995.0,-0.08051410324246921,80624.0,-0.15591105155157248
Colorado,2018,524770.0,0.05588587410336121,89210.0,0.10649434411589609
Colorado,2019,469535.0,-0.10525563580235153,78958.0,-0.11491985203452526
Colorado,2020,680507.0,0.44932113686945585,82682.0,0.04716431520555231
Colorado,2021,115536.0,-0.8302207030934289,115536.0,0.3973537166493313
Connecticut,1999,87209.0,-0.24517899182938652,14334.0,-0.8759347735770668
Connecticut,2000,87586.0,0.004322948319554154,15306.0,0.06781079949769775
Connecticut,2001,89689.0,0.02401068663941719,13603.0,-0.1112635567751209
Connecticut,2002,93598.0,0.04358394005953903,16591.0,0.21965742850841719
Connecticut,2003,100567.0,0.07445671916066576,15661.0,-0.056054487372671935
Connecticut,2004,100916.0,0.0034703232670756368,19198.0,0.22584764702126292
Connecticut,2005,97599.0,-0.032868920686511593,15847.0,-0.17454943223252417
Connecticut,2006,97616.0,0.00017418211252162585,16461.0,0.03874550388086062
Connecticut,2007,116112.0,0.18947713489591878,18159.0,0.10315290687078549
Connecticut,2008,155885.0,0.3425399614165634,24302.0,0.33828955338950384
Connecticut,2009,202454.0,0.29873945536773894,37857.0,0.5577730227964777
Connecticut,2010,179595.0,-0.11290959921760002,30275.0,-0.20028000105660781
Connecticut,2011,186068.0,0.03604220607477937,28478.0,-0.05935590421139558
Connecticut,2012,237496.0,0.27639357654190944,37819.0,0.32800758480230363
Connecticut,2013,294338.0,0.2393387678108263,56014.0,0.4811073798884158
Connecticut,2014,270297.0,-0.08167820668754966,58182.0,0.038704609561895253
Connecticut,2015,307750.0,0.1385623961790179,49082.0,-0.15640576123199612
Connecticut,2016,317692.0,0.03230544272948821,63822.0,0.30031376064545046
Connecticut,2017,181779.0,-0.42781373153872304,30282.0,-0.5255241139419009
Connecticut,2018,177690.0,-0.022494347531893166,29392.0,-0.029390396935473184
Connecticut,2019,172935.0,-0.02676008779334793,31364.0,0.06709308655416435
Connecticut,2020,219227.0,0.26768439008876177,32546.0,0.03768651957658453
Connecticut,2021,45354.0,-0.7931185483539892,45354.0,0.3935353038775886
Delaware,1999,17594.0,-0.6120739074833532,2205.0,-0.9513824579970895
Delaware,2000,15347.0,-0.1277139934068432,2190.0,-0.006802721088435382
Delaware,2001,16619.0,0.08288264807454215,2173.0,-0.00776255707762552
Delaware,2002,16388.0,-0.013899753294422057,2468.0,0.13575701794753803
Delaware,2003,16361.0,-0.001647546985599213,2380.0,-0.03565640194489461
Delaware,2004,16424.0,0.0038506203777275427,2476.0,0.04033613445378159
Delaware,2005,17121.0,0.04243789576229906,2495.0,0.007673667205169599
Delaware,2006,16698.0,-0.024706500788505337,2698.0,0.08136272545090173
Delaware,2007,15912.0,-0.047071505569529326,2683.0,-0.00555967383246847
Delaware,2008,18102.0,0.13763197586726994,2622.0,-0.022735743570629907
Delaware,2009,20530.0,0.13412882554413885,3746.0,0.4286803966437833
Delaware,2010,19240.0,-0.06283487579152458,3025.0,-0.19247197010144157
Delaware,2011,22490.0,0.16891891891891886,3421.0,0.13090909090909086
Delaware,2012,30724.0,0.366118274788795,4557.0,0.3320666471791873
Delaware,2013,40062.0,0.3039317797161827,9290.0,1.0386219003730526
Delaware,2014,42950.0,0.0720882631920523,5693.0,-0.3871905274488697
