City/Town,election,year,Total Votes,Election Day,Mail Ballots,Emergency,% - Mail,% - Turnout,turnout_rank
BARRINGTON,general,2010,7877,7599,278,0.0,0.035292624095467816,0.5573086175180416,8.0
BARRINGTON,general,2012,9623,8864,759,0.0,0.07887353216252728,0.6908607940268504,5.0
BARRINGTON,general,2014,7266,6841,425,0.0,0.0584916047343793,0.5099305214401011,11.0
BARRINGTON,general,2016,9871,8769,1102,0.0,0.11164015803869921,0.6679523616186223,10.0
BARRINGTON,general,2018,8340,7613,727,0.0,0.08717026378896882,0.5640852215082854,10.0
BARRINGTON,primary,2010,1780,1747,33,0.0,0.01853932584269663,0.12651929774681925,27.0
BARRINGTON,primary,2012,1131,1101,30,0.0,0.026525198938992044,0.08149589277993947,24.0
BARRINGTON,primary,2014,3416,3285,131,0.0,0.03834894613583138,0.24124293785310735,10.0
BARRINGTON,primary,2016,1222,1170,52,0.0,0.0425531914893617,0.0842119771208049,15.0
BRISTOL,general,2010,8160,7810,350,0.0,0.0428921568627451,0.5247925911634189,20.0
BRISTOL,general,2012,10348,9694,654,0.0,0.06320061847700038,0.6457007363035068,22.0
BRISTOL,general,2014,7453,7091,362,0.0,0.04857104521669126,0.45592463448950876,26.0
BRISTOL,general,2016,10797,9940,857,0.0,0.07937390015745115,0.6610947832476121,15.0
BRISTOL,general,2018,9088,8364,724,0.0,0.07966549295774648,0.5419200954084675,15.0
BRISTOL,primary,2010,2693,2610,83,0.0,0.030820646119569254,0.17391023571197933,13.0
BRISTOL,primary,2012,1758,1683,75,0.0,0.042662116040955635,0.11046182846371348,19.0
BRISTOL,primary,2014,3372,3227,145,0.0,0.043001186239620404,0.20778900665516392,23.0
BRISTOL,primary,2016,1361,1308,53,0.0,0.038941954445260836,0.08490330630068621,14.0
BRISTOL,primary,2020,1751,718,837,196.0,0.47801256424900057,0.12378932484977023,21.0
BURRILLVILLE,general,2010,5505,5349,156,0.0,0.028337874659400544,0.48353096179183136,30.0
BURRILLVILLE,general,2012,6962,6544,418,0.0,0.06004021832806665,0.5819124038783016,36.0
BURRILLVILLE,general,2014,4734,4530,204,0.0,0.043092522179974654,0.4010504913588614,35.0
BURRILLVILLE,general,2016,7324,6878,446,0.0,0.060895685417804477,0.6337284762481613,26.0
BURRILLVILLE,general,2018,6105,5698,407,0.0,0.06666666666666667,0.5113493592428177,28.0
BURRILLVILLE,primary,2010,1978,1876,102,0.0,0.05156723963599596,0.17490494296577946,12.0
BURRILLVILLE,primary,2012,766,688,78,0.0,0.10182767624020887,0.06436433913116545,32.0
BURRILLVILLE,primary,2014,1894,1817,77,0.0,0.04065469904963041,0.16153518123667376,35.0
BURRILLVILLE,primary,2016,500,450,50,0.0,0.1,0.04437738528445904,28.0
BURRILLVILLE,primary,2020,882,494,363,25.0,0.41156462585034015,0.07168400520156047,34.0
CENTRAL FALLS,general,2010,2196,2118,78,0.0,0.03551912568306011,0.32025667201400027,39.0
CENTRAL FALLS,general,2012,4040,3812,228,0.0,0.05643564356435644,0.5225714655283922,37.0
CENTRAL FALLS,general,2014,2084,1927,157,0.0,0.07533589251439539,0.24053554939981533,39.0
CENTRAL FALLS,general,2016,4287,3886,401,0.0,0.09353860508514113,0.43011939400020066,39.0
CENTRAL FALLS,general,2018,2614,2386,228,0.0,0.08722264728385616,0.2708527613718786,39.0
CENTRAL FALLS,primary,2010,1387,1329,58,0.0,0.0418168709444845,0.20370098399177558,9.0
CENTRAL FALLS,primary,2012,1334,1172,162,0.0,0.12143928035982009,0.17476745709419625,5.0
CENTRAL FALLS,primary,2014,1442,1302,140,0.0,0.0970873786407767,0.17381870781099326,30.0
CENTRAL FALLS,primary,2016,1088,1022,66,0.0,0.06066176470588235,0.11325075465806184,7.0
CENTRAL FALLS,primary,2020,1899,1164,541,194.0,0.28488678251711425,0.20870425321463898,6.0
CHARLESTOWN,general,2010,3299,3213,86,0.0,0.026068505607759928,0.53966955668248,14.0
CHARLESTOWN,general,2012,4216,3962,254,0.0,0.06024667931688805,0.679014334031245,12.0
CHARLESTOWN,general,2014,3151,3016,135,0.0,0.04284354173278324,0.4938097476884501,13.0
CHARLESTOWN,general,2016,4498,4083,415,0.0,0.0922632281013784,0.6817217338587451,5.0
CHARLESTOWN,general,2018,3806,3544,262,0.0,0.06883867577509196,0.5673822301729279,8.0
CHARLESTOWN,primary,2010,623,614,9,0.0,0.014446227929373997,0.1022317033147358,33.0
CHARLESTOWN,primary,2012,360,351,9,0.0,0.025,0.058243002750364016,34.0
CHARLESTOWN,primary,2014,1347,1317,30,0.0,0.022271714922048998,0.21229314420803783,22.0
CHARLESTOWN,primary,2016,300,293,7,0.0,0.023333333333333334,0.046468401486988845,27.0
CHARLESTOWN,primary,2020,790,424,296,70.0,0.37468354430379747,0.1158357771260997,23.0
COVENTRY,general,2010,13132,12783,349,0.0,0.026576302162656107,0.5486526007938166,12.0
COVENTRY,general,2012,16629,15825,804,0.0,0.04834926934872812,0.6865246470151102,7.0
COVENTRY,general,2014,12810,12268,542,0.0,0.042310694769711166,0.5110100526567736,10.0
COVENTRY,general,2016,17704,16690,1014,0.0,0.05727519204699503,0.674849432034764,8.0
COVENTRY,general,2018,14242,13590,652,0.0,0.04578008706642325,0.5382667523337995,18.0
COVENTRY,primary,2010,3539,3456,83,0.0,0.02345295281152868,0.14851651349196357,21.0
COVENTRY,primary,2012,2980,2882,98,0.0,0.032885906040268455,0.123477252009613,14.0
COVENTRY,primary,2014,5049,4863,186,0.0,0.0368389780154486,0.20323632411544498,25.0
COVENTRY,primary,2016,1788,1685,103,0.0,0.05760626398210291,0.06997221461276562,21.0
COVENTRY,primary,2020,2410,1395,824,191.0,0.34190871369294606,0.09031629440863438,27.0
CRANSTON,general,2010,27752,26936,816,0.0,0.029403286249639667,0.5205484591000319,22.0
CRANSTON,general,2012,35274,33464,1810,0.0,0.051312581504791066,0.6500681876819874,19.0
CRANSTON,general,2014,27303,26130,1173,0.0,0.04296231183386441,0.4880503369501099,17.0
CRANSTON,general,2016,37207,34287,2920,0.0,0.07847985594108635,0.6416327516037801,24.0
CRANSTON,general,2018,31659,29653,2006,0.0,0.06336270886635711,0.5482552601956879,13.0
CRANSTON,primary,2010,7254,7074,180,0.0,0.02481389578163772,0.13634056949534817,26.0
CRANSTON,primary,2012,5444,5259,185,0.0,0.033982365907421014,0.1005671217187298,21.0
CRANSTON,primary,2014,13412,13010,402,0.0,0.029973158365642707,0.24160541864822022,9.0
CRANSTON,primary,2016,2862,2753,109,0.0,0.038085255066387144,0.05025372688802655,26.0
CRANSTON,primary,2020,12519,7430,4130,959.0,0.3298985541976196,0.2128502448313384,5.0
CUMBERLAND,general,2010,13162,12823,339,0.0,0.025755964139188573,0.5083227127022747,25.0
CUMBERLAND,general,2012,16851,16039,812,0.0,0.04818705121357783,0.6755532392559332,13.0
CUMBERLAND,general,2014,11871,11478,393,0.0,0.033105888299216575,0.46262665627435695,24.0
CUMBERLAND,general,2016,17430,16226,1204,0.0,0.06907630522088354,0.6506159014557671,19.0
CUMBERLAND,general,2018,14190,13432,758,0.0,0.053417899929527835,0.5322381005963768,19.0
CUMBERLAND,primary,2010,5265,5139,126,0.0,0.023931623931623933,0.20407767742935773,8.0
CUMBERLAND,primary,2012,4163,4013,150,0.0,0.0360317079029546,0.16842658898733665,6.0
