election,year,Contest,Total Votes,Ballots Cast,Total Registered,turnout - %
primary,2020,CITY COMMITTEE WARD 5 WARWICK,4688,1101,7246,0.15194590118686171
primary,2020,CITY COMMITTEE WARD 9 WARWICK,7093,1617,8586,0.1883298392732355
primary,2020,COUNCIL - CITY WIDE CITY OF CRANSTON,16802,12519,58816,0.2128502448313384
primary,2020,COUNCIL AT-LARGE CITY OF PAWTUCKET,16413,6744,42472,0.1587869655302317
primary,2020,COUNCIL DISTRICT 1 NORTH PROVIDENCE,1329,1383,7273,0.190155369173656
primary,2020,COUNCIL DISTRICT 1 PAWTUCKET,1039,1061,6826,0.15543510108409025
primary,2020,COUNCIL DISTRICT 4 PAWTUCKET,1214,1263,7171,0.1761260633105564
primary,2020,COUNCIL DISTRICT 5 PAWTUCKET,940,992,6233,0.15915289587678486
primary,2020,COUNCIL DISTRICT 6 PAWTUCKET,1014,1062,7775,0.13659163987138265
primary,2020,COUNCIL WARD 1 WARWICK,1567,1783,7459,0.23904008580238637
primary,2020,COUNCIL WARD 8 WARWICK,884,1087,7275,0.14941580756013745
primary,2020,COUNCIL WARD 9 WARWICK,1333,1617,8586,0.1883298392732355
primary,2020,MAYOR CITY OF CRANSTON,12340,12519,58816,0.2128502448313384
primary,2020,MAYOR CITY OF PAWTUCKET,6467,6744,42472,0.1587869655302317
primary,2020,MAYOR CITY OF WARWICK,9007,10880,65252,0.16673818427021395
primary,2020,NON-PARTISAN COUNCIL WARD 3 NEWPORT,1144,1165,4979,0.23398272745531232
primary,2020,NON-PARTISAN COUNCIL-AT-LARGE CITY OF NEWPORT,10425,3034,15569,0.19487442995696577
primary,2020,NON-PARTISAN MAYOR CITY OF CENTRAL FALLS,1874,1899,9099,0.20870425321463898
primary,2020,NON-PARTISAN TOWN ADMINISTRATOR TOWN OF NORTH SMITHFIELD,1270,1276,10703,0.11921891058581706
primary,2020,NON-PARTISAN TOWN COUNCIL DISTRICT 5 COVENTRY,641,665,5847,0.11373353856678639
primary,2020,NON-PARTISAN TOWN COUNCIL TOWN OF NARRAGANSETT,13392,3146,12688,0.24795081967213115
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 5,1856,1051,9242,0.1137199740315949
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 50,1018,425,8155,0.05211526670754139
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 64,2567,1234,8563,0.14410837323367978
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 7,3275,1851,9480,0.19525316455696204
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 71,6252,1563,9628,0.16233901121728292
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 9,1550,913,8620,0.10591647331786543
primary,2020,REPRESENTATIVE IN CONGRESS DISTRICT 1,25234,30111,209420,0.1437828287651609
primary,2020,REPRESENTATIVE IN CONGRESS DISTRICT 2,55282,58612,405534,0.14453042161692978
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 1,97,139,1062,0.13088512241054615
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 10,130,152,1441,0.1054823039555864
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 11,1006,1046,9546,0.1095746909700398
