election,year,Contest,Party,Candidate,Total Votes,Election Day,Mail Ballots,Emergency,finished
primary,2020,COUNCIL DISTRICT 1 NORTH PROVIDENCE,DEM,"MANSUET J. GIUSTI, III*",510,283,193,34.0,2
primary,2020,COUNCIL DISTRICT 4 PAWTUCKET,DEM,"JOHN J. BARRY, III*",585,296,240,49.0,2
primary,2020,MAYOR CITY OF CRANSTON,REP,MICHAEL J. FARINA*,1085,886,119,80.0,2
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 13,DEM,MARIO F. MENDEZ*,240,149,83,8.0,2
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 16,DEM,CHRISTOPHER T. MILLEA*,675,322,310,43.0,2
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 61,DEM,"RAYMOND H. JOHNSTON, JR.*",697,338,320,39.0,2
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 64,DEM,JOSE R. SERODIO*,453,193,223,37.0,2
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 7,DEM,ANGEL SUBERVI*,403,294,97,12.0,3
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 71,DEM,"JOHN G. EDWARDS, V*",311,139,139,33.0,2
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 15,DEM,HERBERT P. WEISS*,635,316,279,40.0,2
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 16,DEM,ELIZABETH A. CROWLEY*,768,455,260,53.0,2
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 18,DEM,"WILLIAM J. CONLEY, JR.*",1078,390,596,92.0,2
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 31,DEM,STEVE MEROLLA*,852,339,464,49.0,2
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 6,DEM,HAROLD M. METTS*,1011,609,355,47.0,2
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 9,DEM,GEOFFREY E. ROUSSELLE*,1066,476,550,40.0,2
primary,2020,TOWN COUNCIL DISTRICT 2 CUMBERLAND,DEM,THOMAS W. KANE*,271,118,143,10.0,2
