Precinct Name,Precinct #,election,year,Total Votes,Election Day,Mail Ballots,Emergency,% - Mail,% - Turnout,turnout_rank
BARRINGTON 0101,0101,general,2012,1617,1513,104,0.0,0.06431663574520717,0.5980029585798816,232.0
BARRINGTON 0101,0101,general,2014,1203,1144,59,0.0,0.049044056525353284,0.44001463057790785,214.0
BARRINGTON 0101,0101,general,2016,1691,1532,159,0.0,0.09402720283855706,0.5985840707964601,237.0
BARRINGTON 0101,0101,general,2018,1429,1336,93,0.0,0.06508047585724283,0.5251745681734656,162.0
BARRINGTON 0101,0101,primary,2012,206,202,4,0.0,0.019417475728155338,0.0764378478664193,319.0
BARRINGTON 0101,0101,primary,2014,504,492,12,0.0,0.023809523809523808,0.18475073313782991,291.0
BARRINGTON 0101,0101,primary,2016,125,122,3,0.0,0.024,0.04489942528735632,333.0
BARRINGTON 0102,0102,general,2012,2051,1916,135,0.0,0.06582155046318869,0.7084628670120898,30.0
BARRINGTON 0102,0102,general,2014,1573,1466,107,0.0,0.06802288620470438,0.516245487364621,93.0
BARRINGTON 0102,0102,general,2016,2167,1915,252,0.0,0.11628980156898938,0.6810182275298554,63.0
BARRINGTON 0102,0102,general,2018,1837,1676,161,0.0,0.08764289602612955,0.5689067822855374,85.0
BARRINGTON 0102,0102,primary,2012,244,237,7,0.0,0.028688524590163935,0.08460471567267684,298.0
BARRINGTON 0102,0102,primary,2014,716,667,49,0.0,0.06843575418994413,0.23803191489361702,153.0
BARRINGTON 0102,0102,primary,2016,186,172,14,0.0,0.07526881720430108,0.059443911792905084,269.0
BARRINGTON 0103,0103,general,2012,1731,1566,165,0.0,0.09532062391681109,0.7105911330049262,28.0
BARRINGTON 0103,0103,general,2014,1335,1239,96,0.0,0.07191011235955057,0.5383064516129032,58.0
BARRINGTON 0103,0103,general,2016,1748,1524,224,0.0,0.12814645308924486,0.6762088974854932,75.0
BARRINGTON 0103,0103,general,2018,1493,1333,160,0.0,0.1071667782987274,0.5804821150855366,68.0
BARRINGTON 0103,0103,primary,2012,203,195,8,0.0,0.03940886699507389,0.0830945558739255,299.0
BARRINGTON 0103,0103,primary,2014,700,680,20,0.0,0.02857142857142857,0.28536485935589073,53.0
BARRINGTON 0103,0103,primary,2016,134,123,11,0.0,0.08208955223880597,0.05294350059265113,295.0
BARRINGTON 0104,0104,general,2012,2095,1946,149,0.0,0.0711217183770883,0.6987991994663109,50.0
BARRINGTON 0104,0104,general,2014,1586,1499,87,0.0,0.05485498108448928,0.5184700882641387,90.0
BARRINGTON 0104,0104,general,2016,2128,1904,224,0.0,0.10526315789473684,0.6824887748556767,58.0
BARRINGTON 0104,0104,general,2018,1772,1623,149,0.0,0.08408577878103837,0.5630759453447728,97.0
BARRINGTON 0104,0104,primary,2012,245,239,6,0.0,0.024489795918367346,0.0823252688172043,303.0
BARRINGTON 0104,0104,primary,2014,744,714,30,0.0,0.04032258064516129,0.24369472649852603,137.0
BARRINGTON 0104,0104,primary,2016,393,380,13,0.0,0.03307888040712468,0.12801302931596092,92.0
BARRINGTON 0105,0105,general,2012,1980,1804,176,0.0,0.08888888888888889,0.6837016574585635,73.0
BARRINGTON 0105,0105,general,2014,1567,1493,74,0.0,0.047223994894703254,0.5349948787982246,62.0
BARRINGTON 0105,0105,general,2016,2064,1823,241,0.0,0.11676356589147287,0.6727509778357236,81.0
BARRINGTON 0105,0105,general,2018,1809,1645,164,0.0,0.09065782200110559,0.5805519897304237,67.0
BARRINGTON 0105,0105,primary,2012,231,228,3,0.0,0.012987012987012988,0.08020833333333334,310.0
BARRINGTON 0105,0105,primary,2014,752,732,20,0.0,0.026595744680851064,0.2577107607950651,97.0
BARRINGTON 0105,0105,primary,2016,384,373,11,0.0,0.028645833333333332,0.12812812812812813,89.0
BRISTOL 0201,0201,general,2012,977,911,66,0.0,0.06755373592630501,0.6436100131752306,156.0
BRISTOL 0201,0201,general,2014,752,719,33,0.0,0.043882978723404256,0.4854744996772111,146.0
BRISTOL 0201,0201,general,2016,1057,1001,56,0.0,0.052980132450331126,0.6689873417721519,92.0
BRISTOL 0201,0201,general,2018,901,850,51,0.0,0.05660377358490566,0.552760736196319,113.0
BRISTOL 0201,0201,primary,2012,146,143,3,0.0,0.02054794520547945,0.09617918313570488,264.0
BRISTOL 0201,0201,primary,2014,290,283,7,0.0,0.02413793103448276,0.18770226537216828,286.0
BRISTOL 0201,0201,primary,2016,80,79,1,0.0,0.0125,0.05098789037603569,305.0
