Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Role played by Owner or Manager in Facility,Owner Type,Owner Name,Ownership Percentage,Association Date,Location,Processing Date
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,OFFICER,Individual,"COLE, WARREN",NOT APPLICABLE,since 04/22/2013,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,02915,MANAGING EMPLOYEE,Individual,"VANDAL, DAWN",NOT APPLICABLE,since 01/23/2014,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/01/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,02864,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE INC,NO PERCENTAGE PROVIDED,since 02/02/2015,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/01/2018
415014,GRACE BARKER NURSING CENTER,54 BARKER AVENUE,WARREN,RI,02885,DIRECTOR,Individual,"LESCAULT, MARK",NOT APPLICABLE,since 11/28/2007,"54 BARKER AVENUE WARREN, RI 02885 (41.727711, -71.26429)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DAVIS, KEITH",NOT APPLICABLE,since 03/02/2015,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HCCF MANAGEMENT GROUP XI LLC,NO PERCENTAGE PROVIDED,since 12/01/2012,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
415009,KENT REGENCY CENTER,660 COMMONWEALTH AVENUE,WARWICK,RI,02886,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENESIS HEALTHCARE INC,NO PERCENTAGE PROVIDED,since 02/02/2015,"660 COMMONWEALTH AVENUE WARWICK, RI 02886 (41.701592, -71.479562)",10/01/2018
415054,SOUTH KINGSTOWN NURSING AND REHAB CTR,"2115 SOUTH COUNTY TRAIL, PO BOX 307",WEST KINGSTON,RI,02892,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"RYAN, DAVID",NO PERCENTAGE PROVIDED,since 01/27/2000,"2115 SOUTH COUNTY TRAIL WEST KINGSTON, RI 02892 (41.50255, -71.561723)",10/01/2018
415064,PAWTUCKET SKILLED NURSING & REHABILITATION,70 GILL AVENUE,PAWTUCKET,RI,02861,OFFICER,Individual,"LABATE, WENDY",NOT APPLICABLE,since 12/01/2012,"70 GILL AVENUE PAWTUCKET, RI 02861 (41.862783, -71.352044)",10/01/2018
415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,02886,OFFICER,Individual,"LABATE, WENDY",NOT APPLICABLE,since 03/02/2015,"1139 MAIN AVENUE WARWICK, RI 02886 (41.716299, -71.461307)",10/01/2018
