location,total_assistance,total_households,total_allocation,pct_spent,not_spent,type,state_abbr,program
California,1369008151.0,173736.0,1497605327.0,0.9141,128597176.0,state_only,CA,ERA1
Texas,1037774883.0,201560.0,1308110630.0,0.7933,270335747.0,state_only,TX,ERA1
Florida,302933470.0,70235.0,871237608.5,0.3477,568304138.5,state_only,FL,ERA1
New York,950851587.0,76081.0,800652297.6,1.1876,0.0,state_only,NY,ERA1
Pennsylvania,210617737.0,52524.0,569807659.7,0.3696,359189922.70000005,state_only,PA,ERA1
Illinois,463577502.0,53506.0,566275814.9,0.8186,102698312.89999998,state_only,IL,ERA1
Ohio,72565765.0,25169.0,564845626.0,0.1285,492279861.0,state_only,OH,ERA1
Georgia,68613622.0,14636.0,552302716.6,0.1242,483689094.6,state_only,GA,ERA1
North Carolina,442181592.0,147402.0,546596104.4,0.809,104414512.39999998,state_only,NC,ERA1
Michigan,300694788.0,48380.0,622794676.2,0.4828,322099888.20000005,state_only,MI,ERA1
New Jersey,318511469.0,34483.0,353887496.1,0.9,35376027.100000024,state_only,NJ,ERA1
Virginia,427621963.0,70367.0,524601619.9,0.8151,96979656.89999998,state_only,VA,ERA1
Washington,147466773.0,26358.0,322130256.7,0.4578,174663483.7,state_only,WA,ERA1
Arizona,12943616.0,18582.0,289601979.8,0.0447,276658363.8,state_only,AZ,ERA1
Massachusetts,249378145.0,79024.0,436458910.3,0.5714,187080765.3,state_only,MA,ERA1
Tennessee,36910946.0,6942.0,383440280.4,0.0963,346529334.4,state_only,TN,ERA1
Indiana,66601679.0,20103.0,371986504.9,0.179,305384825.9,state_only,IN,ERA1
Missouri,67190789.0,17417.0,323694749.3,0.2076,256503960.3,state_only,MO,ERA1
Maryland,85796509.0,15228.0,258076805.6,0.3324,172280296.6,state_only,MD,ERA1
Wisconsin,77012336.0,24707.0,322174044.2,0.239,245161708.2,state_only,WI,ERA1
Colorado,82166755.0,11070.0,247795759.8,0.3316,165629004.8,state_only,CO,ERA1
Minnesota,191217500.0,28430.0,289403961.4,0.6607,98186461.39999998,state_only,MN,ERA1
South Carolina,24528100.0,5580.0,271774744.3,0.0903,247246644.3,state_only,SC,ERA1
Alabama,40859679.0,6959.0,263236065.5,0.1552,222376386.5,state_only,AL,ERA1
Louisiana,62244413.0,12119.0,248664567.6,0.2503,186420154.6,state_only,LA,ERA1
